127.0.0.1 - - [15/Nov/2022:09:16:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:16:23 +0900] "GET /webz/styles/font.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:16:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:22:05 +0900] "GET /webz/styles/font.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:23:05 +0900] "GET /webz/styles/font.html HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:23:06 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:23:36 +0900] "GET /webz/styles/font.html HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:23:37 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:25:52 +0900] "GET /webz/styles/font.html HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:25:53 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:25:54 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:25:54 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:25:55 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:25 +0900] "GET /webz/styles/font.html HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:51 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:52 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:53 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:53 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:54 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:54 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:09:26:54 +0900] "GET /webz/styles/font.html HTTP/1.1" 304 -
